scenario,strategy,pool_size,run,elapsed_ms,matches,consulted_providers
NoIO,SEQUENTIAL,-,1,0.017,7,100
NoIO,SEQUENTIAL,-,2,0.021,7,100
NoIO,SEQUENTIAL,-,3,0.013,7,100
NoIO,SEQUENTIAL,-,4,0.011,7,100
NoIO,SEQUENTIAL,-,5,0.037,7,100
NoIO,FIXED,2,1,0.555,7,100
NoIO,FIXED,2,2,0.499,7,100
NoIO,FIXED,2,3,0.699,7,100
NoIO,FIXED,2,4,0.401,7,100
NoIO,FIXED,2,5,0.320,7,100
NoIO,FIXED,4,1,0.770,7,100
NoIO,FIXED,4,2,0.547,7,100
NoIO,FIXED,4,3,0.382,7,100
NoIO,FIXED,4,4,0.370,7,100
NoIO,FIXED,4,5,0.396,7,100
NoIO,FIXED,8,1,0.960,7,100
NoIO,FIXED,8,2,0.760,7,100
NoIO,FIXED,8,3,0.641,7,100
NoIO,FIXED,8,4,0.582,7,100
NoIO,FIXED,8,5,0.653,7,100
NoIO,VIRTUAL,-,1,0.903,7,100
NoIO,VIRTUAL,-,2,0.883,7,100
NoIO,VIRTUAL,-,3,0.780,7,100
NoIO,VIRTUAL,-,4,0.975,7,100
NoIO,VIRTUAL,-,5,0.596,7,100
IO,SEQUENTIAL,-,1,10938.694,7,100
IO,SEQUENTIAL,-,2,10938.253,7,100
IO,SEQUENTIAL,-,3,10940.099,7,100
IO,SEQUENTIAL,-,4,10937.488,7,100
IO,SEQUENTIAL,-,5,10936.811,7,100
IO,FIXED,2,1,5509.875,7,100
IO,FIXED,2,2,5505.774,7,100
IO,FIXED,2,3,5503.508,7,100
IO,FIXED,2,4,5504.712,7,100
IO,FIXED,2,5,5500.189,7,100
IO,FIXED,4,1,2828.271,7,100
IO,FIXED,4,2,2821.876,7,100
IO,FIXED,4,3,2824.537,7,100
IO,FIXED,4,4,2824.401,7,100
IO,FIXED,4,5,2825.684,7,100
IO,FIXED,8,1,1470.111,7,100
IO,FIXED,8,2,1469.429,7,100
IO,FIXED,8,3,1471.681,7,100
IO,FIXED,8,4,1470.397,7,100
IO,FIXED,8,5,1471.838,7,100
IO,VIRTUAL,-,1,199.955,7,100
IO,VIRTUAL,-,2,212.661,7,100
IO,VIRTUAL,-,3,212.623,7,100
IO,VIRTUAL,-,4,208.531,7,100
IO,VIRTUAL,-,5,205.896,7,100
